NAME, DATE, LAST, LL, LH, NEXT, NL, NH,LTP
HINDZINC,24-Dec-2018,S,269.45938,276.0656,B,269.46,276.07,271.5
PGHH,30-Nov-2018,B,9397.087,9586.3,S,9565.59,9796.43,9700.0
OIL,null,S,198.65625,203.60936,B,177.63,182.05,175.05
ICICIPRULI,17-Dec-2018,B,313.69693,321.9,S,312.02,320.86,323.05
NIACL,16-Nov-2018,S,215.89064,222.61874,B,194.16,198.68,183.4
MRF,24-Dec-2018,S,66049.88,67588.64,B,66049.88,67588.64,66100.0
BIOCON,21-Dec-2018,S,617.7219,635.8375,B,619.41,637.87,611.5
SAIL,24-Dec-2018,S,52.118744,53.965622,B,52.12,53.97,52.05
SUNTV,19-Dec-2018,B,576.1125,595.2344,S,573.40,592.83,578.8
MARICO,11-Dec-2018,B,352.1656,359.56564,S,361.75,372.21,370.35
MCDOWELL-N,21-Dec-2018,S,630.69684,650.8499,B,629.98,650.86,607.0
SHREECEM,12-Dec-2018,B,15968.797,16376.613,S,16456.07,16888.57,16721.0
BOSCHLTD,11-Dec-2018,B,18528.863,19013.15,S,18930.96,19367.16,19405.45
PIDILITIND,21-Dec-2018,S,1142.1593,1174.0001,B,1142.73,1173.89,1114.0
GICRE,19-Dec-2018,S,277.60004,285.22498,B,273.49,281.66,262.55
LUPIN,24-Dec-2018,S,838.06256,865.32184,B,838.06,865.32,835.55
IDEA,18-Dec-2018,B,35.06875,36.865623,S,34.85,36.37,37.25
ICICIGI,20-Dec-2018,S,852.55316,889.3469,B,858.63,898.72,838.15
DABUR,12-Dec-2018,B,401.79688,414.375,S,417.63,430.58,425.45
ACC,24-Dec-2018,S,1465.328,1505.4906,B,1465.33,1505.49,1439.5
HAVELLS,24-Dec-2018,S,684.85,702.79065,B,684.85,702.79,668.0
SBILIFE,17-Dec-2018,B,561.54065,574.83124,S,565.27,581.50,577.0
AMBUJACEM,24-Dec-2018,S,214.43752,220.83438,B,214.44,220.83,212.9
MOTHERSUMI,13-Dec-2018,B,153.25314,159.6875,S,158.66,165.76,161.75
DLF,12-Dec-2018,B,171.025,178.1875,S,173.60,180.98,179.0
DMART,24-Dec-2018,S,1535.2719,1574.272,B,1535.27,1574.27,1539.9
